pop,time,size,TMIG_WildTV,TMIG_TVWild,MODEL,ANC_EXP,TV_SHELF,TV_EXP,MIG,MIG_MODEL
anc,220000,100000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
anc,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
wild,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
wild,3200,26000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
wild,490,10000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
wild,0,15000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
TV,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
TV,3200,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
TV,0,1800,1300,1300,ancnoexp_wild_Tvshelf_Tvnoexp,no_exp,shelf,no_exp,bi,
anc,220000,100000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
anc,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
wild,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
wild,3200,26000,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
wild,490,10000,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
wild,0,15000,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
TV,5300,12000,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
TV,1300,1800,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
TV,0,60000,1300,1300,ancexp_wild_Tvnoshelf_Tvexp,no_exp,no_shelf,exp,bi,
anc,220000,100000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
anc,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
wild,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
wild,3200,26000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
wild,490,10000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
wild,0,15000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
TV,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
